movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.654065 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.654211 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.654502 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.654745 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.654939 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.65523 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.655425 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.655764 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.655958 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.656153 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.656395 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.656686 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.656881 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.657075 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.657415 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.657609 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.6579 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.658191 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.658337 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.658628 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.658871 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.659065 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.659356 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.65955 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.65989 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.660084 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.660278 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.660521 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.660812 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.661007 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.661201 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.66154 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.661735 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.662026 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.662317 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.662463 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.662754 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.662997 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.663191 | angle to goal: 1.570796
